trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
245,False,"{'a': 0.5, 'e': 0.8775}",20,0,-83.93816832866693,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.877}",30,0,-72.23326539402913,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
247,False,"{'a': 0.5, 'e': 0.8765000000000001}",20,0,-145.37729908445516,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
248,False,"{'a': 0.5, 'e': 0.876}",20,0,-154.8544886946982,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
249,False,"{'a': 0.5, 'e': 0.8755}",30,0,-199.56042591814276,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
250,False,"{'a': 0.5, 'e': 0.875}",25,15,1.2295868752664243,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.8745}",30,0,-140.32734440309525,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
252,False,"{'a': 0.5, 'e': 0.874}",30,19,17.30259739005313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.8734999999999999}",20,0,-117.50164598107006,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
254,False,"{'a': 0.5, 'e': 0.873}",30,0,-124.19279826450145,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
255,False,"{'a': 0.5, 'e': 0.8725}",20,0,-105.43170620565213,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
256,False,"{'a': 0.5, 'e': 0.872}",25,0,-45.218021278788484,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
